Date,Country,City,State,Shape,Summary,lat,lon
16-12-21-19-15,USA,Waynesboro,VA,Sphere,REDACTED,38.0652286,-78.90588756
16-12-21-00-00,USA,Louisville,KY,Unknown,REDACTED,38.2542376,-85.7594069
16-12-20-22-30,USA,Santa Rosa,CA,Sphere,REDACTED,38.4404675,-122.7144313
16-12-20-19-00,USA,Fresno,CA,Circle,REDACTED,36.7295295,-119.7088612
16-12-19-21-53,USA,Reymert,AZ,Circle,REDACTED,33.2297793,-111.2092898
16-12-19-21-50,USA,Redding,CA,Light,REDACTED,40.5863563,-122.3916753
16-12-19-20-02,USA,Gilbert,AZ,Light,REDACTED,33.294207,-111.7379465
16-12-19-19-02,USA,Phoenix,AZ,Circle,REDACTED,33.4485866,-112.0773455
16-12-19-18-30,USA,Huber Heights,OH,Cylinder,REDACTED,39.85902405,-84.11136285
16-12-19-18-00,USA,Conway,AR,Chevron,REDACTED,35.0886963,-92.442101
16-12-19-10-30,USA,Anchorage,AK,Circle,REDACTED,61.2163129,-149.8948522
16-12-19-06-50,USA,Town and Country,MO,Light,REDACTED,38.6122751,-90.4634531
16-12-19-03-30,USA,Salt Lake City,UT,Triangle,REDACTED,40.7670126,-111.8904307
16-12-19-01-27,USA,Richardson,TX,Triangle,REDACTED,32.9481789,-96.7297205
16-12-18-22-00,CANADA,Wetaskiwin,AB,Light,REDACTED,52.968492,-113.3679199
16-12-18-21-50,USA,Berryville,AR,Formation,REDACTED,36.364792,-93.5679666
16-12-18-21-15,USA,Honolulu,HI,Light,REDACTED,21.304547,-157.8556763
16-12-18-21-00,USA,St. George,UT,Chevron,REDACTED,37.104153,-113.5841312
16-12-18-20-40,USA,Bend,OR,Other,REDACTED,44.0581728,-121.3153095
16-12-18-19-30,USA,Mission,KS,Light,REDACTED,39.0277832,-94.6557913
16-12-18-19-00,USA,Lancaster,OH,Light,REDACTED,39.7136754,-82.5993293
16-12-17-21-00,USA,San Pedro,CA,Other,REDACTED,33.7358518,-118.2922933
16-12-17-20-00,USA,Kahana,HI,Fireball,REDACTED,21.5543942,-157.873405
16-12-17-20-00,USA,San Diego,CA,Sphere,REDACTED,32.7174209,-117.1627713
16-12-17-19-53,USA,Waipio,HI,Circle,REDACTED,21.4172766,-157.9986758
16-12-17-19-15,USA,Ojai,CA,Oval,REDACTED,34.4480495,-119.2428889
16-12-17-07-30,USA,Weston,FL,Circle,REDACTED,26.103632,-80.40310188
16-12-17-00-08,USA,Fairfield,CA,Fireball,REDACTED,38.2493581,-122.0399662
16-12-16-23-30,USA,Rio Rancho,NM,Fireball,REDACTED,35.269381,-106.6328189
16-12-16-22-20,USA,Hixson,TN,Other,REDACTED,35.236207,-85.2982059
16-12-16-22-00,USA,Dade City,FL,Circle,REDACTED,28.3647248,-82.1959177
16-12-16-19-30,USA,La Veta,CO,Light,REDACTED,37.5050118,-105.0077746
16-12-16-18-30,USA,Kelso,WA,Other,REDACTED,46.1420334,-122.9060317
16-12-16-18-00,USA,Skiatook,OK,Light,REDACTED,36.3684245,-96.0013846
16-12-16-06-25,USA,Carson City,NV,Unknown,REDACTED,39.1637984,-119.7674033
16-12-15-21-00,USA,Syracuse,NY,Oval,REDACTED,43.0481221,-76.1474243
16-12-15-20-30,USA,Johnson City,TN,Triangle,REDACTED,36.3134398,-82.3534727
16-12-15-20-00,USA,Davie,FL,Egg,REDACTED,26.075729,-80.28410888
16-12-15-19-00,USA,Winchester,KS,Triangle,REDACTED,39.3222209,-95.2669154
16-12-15-19-00,USA,Middlefield,CT,Light,REDACTED,41.717613,-81.2086884
16-12-15-18-00,USA,Corbin,KY,Flash,REDACTED,36.9486986,-84.096876
16-12-15-17-50,USA,Simpsonville,SC,Disk,REDACTED,34.7370639,-82.2542833
16-12-15-17-00,USA,Panama City,FL,Circle,REDACTED,30.165156,-85.6605594
16-12-15-07-12,USA,Chandler,AZ,Unknown,REDACTED,33.3067132,-111.8408488
16-12-15-05-37,USA,Ozark,AL,Unknown,REDACTED,33.547741,-86.5591659
16-12-14-20-15,USA,Cumming,GA,Light,REDACTED,34.2073196,-84.1401925
16-12-14-19-54,USA,North Chesterfield,VA,Formation,REDACTED,38.6560565,-90.5742028
16-12-14-19-21,USA,Dabney,KY,Triangle,REDACTED,37.1839682,-84.5499416
16-12-14-17-00,USA,Clinton,CT,Circle,REDACTED,42.26306,-71.8052219
16-12-14-09-00,USA,San Diego,CA,Oval,REDACTED,32.7174209,-117.1627713
16-12-14-06-00,USA,South Burlington,VT,Light,REDACTED,44.4669941,-73.1709603
16-12-14-05-35,USA,Prescott Valley,AZ,Unknown,REDACTED,34.6100243,-112.3157209
16-12-14-05-00,USA,Monroe Twp,NJ,Unknown,REDACTED,40.3183284,-74.42021822
